employee_id,name,age,gender,department,position,salary,hire_date,email,phone,address,employment_status
301eeb07-d23a-47d3-a1b2-19b68aca9b3d,Amanda Webster,56,Female,Marketing,"Engineer, materials",76647,2024-12-12,davidcruz@example.com,(299)919-6477x923,"73011 Eric Common Suite 981
Rachelmouth, SC 39352",On Leave
9a9974a5-4d7e-4789-8546-4d3097c53762,Kimberly Johnson,42,Non-Binary,IT,Occupational therapist,55489,2022-02-23,lbaker@example.org,521.760.9625x7226,"6698 Hudson Islands
Anthonychester, DC 44133",Active
cc4c6622-4b24-4fe7-9e76-01a8d7e701f5,Brian Cruz,51,Non-Binary,HR,Careers information officer,124271,2022-02-26,qwong@example.org,+1-283-941-1793x30882,"099 Vargas Rapid Apt. 974
Stevensborough, VA 76229",Resigned
c3361586-48a4-4aa2-9b16-274fcb64ea52,Isabella Allen,57,Male,HR,Contracting civil engineer,95608,2022-05-13,ebrown@example.com,(684)712-6854,"84473 Vasquez Stream
Thompsonshire, MI 04785",Active
f00ef731-02aa-405c-8d03-4402de4fe7b8,Barbara Jacobs,63,Non-Binary,Sales,"Teacher, early years/pre",74936,2020-02-15,nward@example.com,(815)504-3201,"72255 Larry Flats
Port Cynthia, CT 87534",Resigned
a5246a19-e419-4038-bceb-74dcbc394c45,Zachary Watkins,32,Male,Marketing,"Surveyor, building",112002,2024-08-18,jay18@example.com,+1-492-727-3042,"10107 Sheryl Mills Apt. 632
North Elizabethberg, OR 26854",Resigned
14ed9cc1-fe0c-4c52-92b8-15cb1ef4cc4b,Brian Kidd,43,Female,Finance,IT sales professional,64786,2021-08-26,andrew57@example.net,(354)421-2468,"97968 Cox Centers Suite 312
Davidland, DE 39514",Resigned
551ccd47-aa91-479c-9345-29a9b0bf9498,Troy Meyers,41,Male,Operations,"Accountant, chartered management",102511,2020-05-23,leonardsarah@example.com,(949)959-3878x69038,"349 Zimmerman Gardens Suite 142
Thompsonhaven, CA 78363",On Leave
5e25969d-e97a-4aa9-8046-b81d85538351,John Bell,54,Non-Binary,Operations,Public librarian,124847,2020-04-13,sonya49@example.com,5872351527,"9207 Edwards Villages Suite 739
Gutierrezchester, FM 28033",Terminated
55b9e240-47f9-4001-8595-25bd891ba5f0,Lisa Horne,45,Male,Operations,Sports therapist,128431,2020-05-22,xwoodard@example.org,+1-730-417-0375x9839,"10021 Amber Circles Suite 444
West Ashleyborough, KY 54148",Terminated
ca88679b-e79c-4ed5-9f86-81ea62230939,Eric Bradley,52,Male,Finance,"Psychologist, clinical",37435,2024-08-27,christinecampbell@example.net,001-337-865-7074x8964,"516 Flores Forks
Oliviatown, OR 37935",Active
3663740a-a36b-4a1d-be48-652830b97790,Jacob Smith,62,Non-Binary,HR,Market researcher,94647,2023-01-29,alexanderalisha@example.org,698.329.7419x782,"86317 Robert Lock Suite 835
Briannaburgh, CT 89143",Resigned
8546046a-8995-4128-bde8-8d37e80d0b3e,Jane Weaver,33,Male,Finance,Water engineer,115198,2023-12-29,wrightmichael@example.org,292-501-8610,"428 Taylor Expressway Apt. 426
West Susan, CT 92473",Terminated
9266445c-7df1-49e3-93e6-ac17f910599f,Cynthia Arroyo,62,Female,Sales,Futures trader,109871,2022-04-19,bernardjennifer@example.net,+1-704-330-5717x35127,"4397 Erica Curve Apt. 026
North Paul, TN 12602",Active
436d618c-2cac-4117-9ff5-fea1e14c4f2d,Linda Cobb,35,Non-Binary,Finance,Academic librarian,52540,2020-10-19,david47@example.com,+1-377-830-8468,"39286 Ryan Streets Suite 677
New Anita, WY 19374",Active
3f3261ea-87a9-4b7f-879a-2a473d93f650,William Walker,25,Male,Sales,Bonds trader,129829,2022-03-24,bullocksara@example.net,278-546-9607,"84370 Weaver Creek Apt. 743
South Ryan, DC 54263",Terminated
7a832615-ba3a-4119-9e9d-bcc9fca494e8,Kevin Miller,37,Female,Operations,"Administrator, arts",60023,2020-07-14,taylorwilkins@example.com,(332)319-4932x75663,"90745 Vanessa Circles
North Jesse, WY 72495",Resigned
49bf4efe-68ae-4226-9cf4-457fadc2bf70,Travis Diaz,51,Female,IT,Environmental education officer,70479,2024-09-23,cmoran@example.com,551.598.0527x51946,"0141 Adriana Crossing Suite 199
Thomastown, IN 68188",Resigned
cf45075c-dcd7-48b7-b563-c356c5eb7415,Dakota Taylor,44,Female,IT,Chartered loss adjuster,132570,2021-12-12,cruzian@example.org,+1-996-505-4805x754,"334 Contreras Corners Suite 444
Penafort, OK 63881",Resigned
c3264b0a-5b54-4067-83e2-f4922dd35015,Donald Logan,62,Male,HR,Archaeologist,117530,2022-06-14,deborah06@example.org,001-803-854-5631x8142,"5428 Joyce Road
Piercebury, MO 32969",Active
5c74e890-e5ad-4cdc-b297-4d22855e5e8f,Michael Myers,45,Female,Finance,Nature conservation officer,56623,2021-10-10,smithsara@example.org,001-318-749-4118x06250,"44263 Garza Wall
Lake Christineburgh, ME 63432",On Leave
25197e7a-7510-415a-8bb1-cc88c3cccce9,Caroline Fletcher,25,Non-Binary,Sales,Manufacturing systems engineer,90072,2023-07-30,ortizjoseph@example.com,826.935.6673x73999,"910 Laurie Roads Apt. 288
Martinview, MT 42397",Resigned
9d6122b4-9289-41f6-8e79-012f97047294,Marco Crane,28,Female,Operations,Careers information officer,97898,2021-01-19,mellis@example.com,+1-909-562-2964x04752,"Unit 3593 Box 3604
DPO AA 58397",Resigned
10131ba1-6d8b-4b59-b26f-6d7fa23470ec,Stephanie Shepard,57,Female,Operations,Freight forwarder,57914,2021-05-08,ramoskeith@example.org,866-582-4902x076,"3916 David Fall Apt. 196
Paulborough, AS 92793",Active
567d9e91-d7bb-46fb-b99d-612a6cca96c6,David Thompson,58,Non-Binary,Marketing,Lobbyist,108595,2025-03-03,kathleen23@example.com,(676)263-3396,"07398 Carter Knoll Suite 859
Port Thomas, KY 20836",On Leave
bb5cfc1a-e1c2-4528-8333-29c203c6738d,Lisa Lowe,46,Female,Marketing,Microbiologist,127952,2023-10-02,travisronald@example.com,(294)238-9409x11847,"2129 Boyd Creek
Jensenberg, CO 27079",Resigned
7a5c5edb-852f-44ca-920c-dc0423d847f9,Robert Hansen,52,Male,IT,Public house manager,100878,2020-03-28,randallhenson@example.org,618-460-3425,"7759 Troy Isle
Fernandezberg, DE 76342",Terminated
f9c4f994-c514-404d-ad85-98980758ad87,Brittney Hobbs,54,Male,HR,Management consultant,55353,2020-03-09,chad84@example.com,865-755-4979x377,"863 Christopher Knolls
Garrettview, DE 89304",Active
230e4ec3-e3f3-4e35-ab74-569cb5988d88,Patricia Anderson,28,Non-Binary,Sales,Forensic scientist,94082,2022-01-10,heidirobinson@example.org,862-468-0514x3758,"4227 David Lock Apt. 545
New John, NC 09894",Active
8ad43c97-682c-42c2-9078-036eb86ecd66,Monica Stephens,51,Male,Marketing,"Psychologist, clinical",99744,2023-08-06,kevin21@example.net,(927)761-3207x330,"080 Cory Tunnel Suite 295
Amyshire, WA 43948",On Leave
51b944a3-a61f-4f93-b5fa-a4374644d0e2,Joshua Hall,50,Female,HR,Senior tax professional/tax inspector,38133,2022-03-01,nathan66@example.net,001-985-622-7706x8210,"395 Duncan Mission Suite 941
Mackport, PA 45700",Active
371a4712-54d6-4403-9e42-7a846b133bfc,Kathleen Hill,48,Male,Operations,"Engineer, broadcasting (operations)",64350,2023-07-17,jaredvasquez@example.net,515-709-5096,"27532 Silva Field Apt. 503
Port Kristen, SD 12232",Terminated
0c13a0ee-c890-4505-abd0-1eea30edfe9c,Carlos Pollard,27,Non-Binary,IT,Health and safety inspector,110214,2021-08-07,melissa92@example.net,383-482-8175,"566 Rachael Orchard Suite 378
North Jessica, MI 83359",Terminated
f9847867-947f-43c1-99cc-d9f4dd10ff45,Ashley Sanchez,52,Female,Sales,Early years teacher,135275,2024-08-29,hineskeith@example.org,(612)828-3934x13065,"4300 Jacobs Mountain
South Daniel, MH 94838",Terminated
097de8c7-8fd9-493f-840d-a7d58f13645f,Alan Pitts,37,Female,Finance,Solicitor,129632,2024-08-10,reneelam@example.net,704-762-6346x5686,"308 James Springs Apt. 907
Forbesfurt, MA 08356",Active
94b5d4bb-9141-4e8d-8c74-ba9e5415f023,Samuel Clark,33,Non-Binary,Finance,Advertising art director,101882,2025-02-01,stacie14@example.com,001-209-646-2009x8244,"66407 Wesley Plains
Nguyenport, AS 86648",Resigned
3ab9a74f-093f-4685-b2b8-973354cff236,Keith Alvarado,25,Non-Binary,HR,Retail banker,32933,2024-05-01,david03@example.net,531.900.5511x04602,"15179 Pamela Branch Apt. 673
East Christophermouth, NV 05710",Active
